Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Mod 3 BR duplex-East Village","Room in New York","5406041","https://www.airbnb.com/rooms/5406041","$104","per night","","1","1","1","4.89","309","","","","","No","","","","$104 per night","","REGULAR","private_room",40.7265154,-73.9777228,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Spacious and Lovely One Bedroom","Room in New York","52554380","https://www.airbnb.com/rooms/52554380","$120","per night","","1","2","1","4.96","148","","","","","No","","","","$120 per night","","REGULAR","private_room",40.8081,-73.94708,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Room in Manhattan with a garden view (Room 2)","Room in New York","15067291","https://www.airbnb.com/rooms/15067291","$76","per night","","1","1","1","4.91","212","","","","","No","4.8","","","$76 per night","","REGULAR","private_room",40.80981,-73.94492,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Space Age SoHo Penthouse: Private Terrace & Roof","Apartment in New York","41178612","https://www.airbnb.com/rooms/41178612","$511","per night","","1","1","2","4.83","166","","","","","No","4.7","$683","$511","$511 per night, originally $683","1 queen bed","REGULAR","entire_home",40.71701,-73.99961,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"The Rustic Lair","Loft in New York","1019653865784274979","https://www.airbnb.com/rooms/1019653865784274979","$171","per night","","2","1","1","5","8","","","","","No","","","","$171 per night","2 beds","REGULAR","entire_home",40.81231787609201,-73.94554088324166,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Charming Apartment with a private backyard","Room in New York","1054463012526523296","https://www.airbnb.com/rooms/1054463012526523296","$143","per night","","1","1","2","5","4","","","","","No","","","","$143 per night","","REGULAR","private_room",40.72178121491473,-73.981071101494,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Chic Midtown 2 Bedroom | Queen Beds | WD","Apartment in New York","1127492187924840140","https://www.airbnb.com/rooms/1127492187924840140","$449","per night","","2","1","2","","","","","","","No","","","","$449 per night","2 queen beds","REGULAR","entire_home",40.76277,-73.98957,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Studio East Village Gallery Oasis","Room in New York","1131289860288054400","https://www.airbnb.com/rooms/1131289860288054400","$129","per night","","","1","1","","","","","","","No","","","","$129 per night","","REGULAR","private_room",40.72765272295896,-73.97952438503782,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Boerum Hill Twin BR in a Classic NYC Brownstone","Room in Brooklyn","28368678","https://www.airbnb.com/rooms/28368678","$145","per night","","2","1","1","4.98","200","","","","","No","","","","$145 per night","","REGULAR","private_room",40.6863876,-73.985789,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Location is Everything!","Room in New York ","4152752","https://www.airbnb.com/rooms/4152752","$195","per night","","","1","","4.86","615","","","","","No","4.8","","","$195 per night","","REGULAR","private_room",40.76377541830768,-73.99046821837572,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"NYC One Bedroom Masterpiece","Guest suite in New York","1084828217755386005","https://www.airbnb.com/rooms/1084828217755386005","$113","per night","","","1","1","","","","","","","No","","","","$113 per night","","REGULAR","entire_home",40.7345258,-73.8554255,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Studio with private patio in the heart of Harlem!","Apartment in New York","1088028431891766930","https://www.airbnb.com/rooms/1088028431891766930","$200","per night","","","1","1","4.92","13","","","","","No","4.8","$250","$200","$200 per night, originally $250","","REGULAR","entire_home",40.8034488,-73.9465201,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private Parkside Guest Suite Oasis","Guest suite in Brooklyn","848605900373545778","https://www.airbnb.com/rooms/848605900373545778","$248","per night","","1","1","1","4.99","69","","","","","No","","","","$248 per night","1 king bed","REGULAR","private_room",40.714748315887036,-73.93851886105656,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private Room C- West NY, NJ(12 mints from NYCity.","Room in West New York","1138659543431476656","https://www.airbnb.com/rooms/1138659543431476656","$86","per night","","1","","","5","5","","","","","No","","","","$86 per night","","REGULAR","private_room",40.78957913927262,-74.00593415108709,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Brownstone Garden Duplex","Apartment in New York","1108949459249844778","https://www.airbnb.com/rooms/1108949459249844778","$188","per night","","2","1","1","","","","","","","No","","","","$188 per night","2 beds","REGULAR","entire_home",40.8081567,-73.9548446,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Park Slope Brownstone, private room, private bath","Room in Brooklyn","720896670635654011","https://www.airbnb.com/rooms/720896670635654011","$170","per night","","","","1","5","52","","","","","No","","","","$170 per night","","REGULAR","private_room",40.6717259,-73.9771604,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Entire Home with free parking 25 minutes to NYC","Home in Cliffside Park","627512238912675919","https://www.airbnb.com/rooms/627512238912675919","$88","per night","","2","1","1","4.88","113","","","","","No","4.9","","","$88 per night","2 queen beds","REGULAR","entire_home",40.82547,-73.98921,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Dazzling Oasis | Times Square.  Restaurant","Apartment in New York","1111540336881417764","https://www.airbnb.com/rooms/1111540336881417764","$292","per night","","2","1","1","4.88","8","","","","","No","4.9","$324","$292","$292 per night, originally $324","2 double beds","REPRESENTATIVE","entire_home",40.76174,-73.98391,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"*TRANQUILITY Private Room. let the birds sing !*","Room in New York City","21643550","https://www.airbnb.com/rooms/21643550","$108","per night","","1","1","1","4.97","158","","","","","No","4.9","$125","$108","$108 per night, originally $125","","REGULAR","private_room",40.743742195708464,-73.88320785819118,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Beautiful 1 Bedroom in Prime Greenpoint","Apartment in Brooklyn","18022636","https://www.airbnb.com/rooms/18022636","$137","per night","","2","1","1","4.65","334","","","","","No","4.8","","","$137 per night","2 beds","REGULAR","entire_home",40.732061877588215,-73.95773626411398,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"NYC Studio Masterpiece","Guest suite in New York","1083605109713339980","https://www.airbnb.com/rooms/1083605109713339980","$114","per night","","","1","1","5","5","","","","","No","","","","$114 per night","","REGULAR","entire_home",40.73369,-73.85629,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lower East Side Oasis  (private room)","Room in New York","23631288","https://www.airbnb.com/rooms/23631288","$170","per night","","1","1","1","4.96","179","","","","","No","4.9","","","$170 per night","","REGULAR","private_room",40.72029,-73.98354,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Garden Duplex Apt with Private Outdoor Space","Guest suite in White Plains","42988881","https://www.airbnb.com/rooms/42988881","$119","per night","","2","1","2","4.97","37","","","","","No","","","","$119 per night","2 double beds","REGULAR","entire_home",41.03826,-73.82811,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Designer’s  Upper Eastside Apt Separate Entrance","Apartment in New York City","40735445","https://www.airbnb.com/rooms/40735445","$196","per night","","1","1","1","4.98","124","","","","","No","","","","$196 per night","1 queen bed","REGULAR","entire_home",40.78307560388947,-73.94989787465123,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Gorgeous Bedroom in Manhattan Midtown West","Room in New York","13135822","https://www.airbnb.com/rooms/13135822","$205","per night","","1","1","1","4.73","177","","","","","No","4.9","","","$205 per night","","REGULAR","private_room",40.76295577173212,-73.99123101911954,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy room in Central Brooklyn","Room in Brooklyn","1104472941469620295","https://www.airbnb.com/rooms/1104472941469620295","$80","per night","","1","1","1","5","6","","","","","No","","","","$80 per night","","REGULAR","private_room",40.64423754733866,-73.95802524629407,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"FAB Garden Guest Suite  W/Garden nr Central Park!","Guest suite in New York","10165064","https://www.airbnb.com/rooms/10165064","$386","per night","","1","1","1","4.96","367","","","","","No","4.9","","","$386 per night","1 queen bed","REGULAR","entire_home",40.79286,-73.96823,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Carribean Vibes Nookie","Room in Brooklyn","733422980036577408","https://www.airbnb.com/rooms/733422980036577408","$55","per night","","","1","","4.89","63","","","","","No","4.9","","","$55 per night","","REGULAR","private_room",40.6518,-73.94932,"tl","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"SoHo ""Room Selected at Check-in"" in Hotel Comfort","Place to stay in New York","700888293266225258","https://www.airbnb.com/rooms/700888293266225258","$171","per night","","1","1","1","4.54","694","","","","","No","4.5","$245","$171","$171 per night, originally $245","1 double bed","REPRESENTATIVE","private_room",40.71994,-74.00098,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private Bedroom + Half-Bath in Shared Family Home","Room in New York","1042100010525986133","https://www.airbnb.com/rooms/1042100010525986133","$95","per night","","1","1","1","","","","","","","No","","","","$95 per night","","REGULAR","private_room",40.81693975503688,-73.95922798269565,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Upper East Side Small Private Room","Room in New York","45674102","https://www.airbnb.com/rooms/45674102","$100","per night","","1","1","1","4.93","14","","","","","No","","","","$100 per night","","REGULAR","private_room",40.77570105368748,-73.95984403528705,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"BigApple Charm | Sightseeing. Basketball Court","Apartment in New York","1102123641767898783","https://www.airbnb.com/rooms/1102123641767898783","$311","per night","","1","1","1","5","8","","","","","No","4.8","","","$311 per night","1 king bed","REPRESENTATIVE","entire_home",40.70973,-74.00717,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Oasis by Central Park in the Upper West Side","Place to stay in New York","745089246000402352","https://www.airbnb.com/rooms/745089246000402352","$330","per night","","2","1","2","4.89","53","","","","","No","4.7","","","$330 per night","2 beds","REGULAR","private_room",40.79142,-73.96443,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Luxe Studio in the UES","Apartment in New York","1126075657490554047","https://www.airbnb.com/rooms/1126075657490554047","$238","per night","","","1","1","","","","","","","No","","","","$238 per night","","REGULAR","entire_home",40.769927287688176,-73.95886266104,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Studio with 1 Queen Bed","Apartment in New York","992970965790772607","https://www.airbnb.com/rooms/992970965790772607","$275","per night","","1","1","1","4.57","254","","","","","No","4.7","","","$275 per night","1 queen bed","REPRESENTATIVE","entire_home",40.755523211398796,-73.99200420742673,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Charming huge guest suite in Williamsburg","Townhouse in Brooklyn","711477188594962909","https://www.airbnb.com/rooms/711477188594962909","$320","per night","","2","1","2","4.92","110","","","","","No","4.8","","","$320 per night","2 queen beds","REGULAR","entire_home",40.71654,-73.94237,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Clean Studio with front yard.","Home in Palisades Park","786533027030871949","https://www.airbnb.com/rooms/786533027030871949","$67","per night","","1","1","","5","13","","","","","No","4.9","","","$67 per night","1 bed","REGULAR","entire_home",40.84796559979191,-73.99448048761066,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Quiet, quaint room in Victorian Town House","Room in Brooklyn","6146783","https://www.airbnb.com/rooms/6146783","$47","per night","","1","1","","4.92","121","","","","","No","4.9","","","$47 per night","","REGULAR","private_room",40.63992,-73.96424,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Affordable bedroom in Brooklyn townhouse.","Room in Brooklyn","27866657","https://www.airbnb.com/rooms/27866657","$70","per night","","1","1","1","4.81","360","","","","","No","","","","$70 per night","","REGULAR","private_room",40.65062,-73.95227,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Firefly In New York","Apartment in Union City","1122580872375918944","https://www.airbnb.com/rooms/1122580872375918944","$95","per night","","","1","1","","","","","","","No","","$113","$95","$95 per night, originally $113","","REGULAR","entire_home",40.76764,-74.03747,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Amazing Views & Rooftop Deck - Safe - Parking Incl","Guesthouse in Brooklyn","955842473362618091","https://www.airbnb.com/rooms/955842473362618091","$181","per night","","2","1","1","4.92","38","","","","","No","4.8","","","$181 per night","2 beds","REGULAR","entire_home",40.63493,-74.01232,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
